ISO,Names
KWT,"[Kuwait,Kuwait,Kuwait,Kuwait,State of Kuwait,Kuwait]"
LAO,"[Laos,Laos,Lao PDR,Lao PDR,Lao People's Democratic Republic,Lao PDR]"
LBN,"[Lebanon,Lebanon,Lebanon,Lebanon,Lebanese Republic,Lebanon]"
LBR,"[Liberia,Liberia,Liberia,Liberia,Republic of Liberia,Liberia]"
LBY,"[Libya,Libya,Libya,Libya,Libya,Libya]"
LCA,"[Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,St. Lucia]"
LIE,"[Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Principality of Liechtenstein,Liechtenstein]"
LKA,"[Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,Sri Lanka]"
LSO,"[Lesotho,Lesotho,Lesotho,Lesotho,Kingdom of Lesotho,Lesotho]"
LTU,"[Lithuania,Lithuania,Lithuania,Lithuania,Republic of Lithuania,Lithuania]"
LUX,"[Luxembourg,Luxembourg,Luxembourg,Luxembourg,Grand Duchy of Luxembourg,Luxembourg]"
LVA,"[Latvia,Latvia,Latvia,Latvia,Republic of Latvia,Latvia]"
MAC,"[Macao S.A.R,Macao S.A.R,Macao,Macao,Macao Special Administrative Region, PRC,Macao SAR, China]"
MAF,"[Saint Martin,Saint Martin,St-Martin,Saint-Martin,Saint-Martin (French part),St. Martin (French part)]"
MAR,"[Morocco,Morocco,Morocco,Morocco,Kingdom of Morocco,Morocco]"
MCO,"[Monaco,Monaco,Monaco,Monaco,Principality of Monaco,Monaco]"
MDA,"[Moldova,Moldova,Moldova,Moldova,Republic of Moldova,Moldova]"
MDG,"[Madagascar,Madagascar,Madagascar,Madagascar,Republic of Madagascar,Madagascar]"
MDV,"[Maldives,Maldives,Maldives,Maldives,Republic of Maldives,Maldives]"
MEX,"[Mexico,Mexico,Mexico,Mexico,United Mexican States,Mexico]"
MHL,"[Marshall Islands,Marshall Islands,Marshall Is.,Marshall Islands,Republic of the Marshall Islands,Marshall Islands]"
MKD,"[Macedonia,Macedonia,Macedonia,Macedonia,Former Yugoslav Republic of Macedonia,Macedonia, FYR]"
MLI,"[Mali,Mali,Mali,Mali,Republic of Mali,Mali]"
MLT,"[Malta,Malta,Malta,Malta,Republic of Malta,Malta]"
MMR,"[Myanmar,Myanmar,Myanmar,Myanmar,Republic of the Union of Myanmar,Myanmar]"
MNE,"[Montenegro,Montenegro,Montenegro,Montenegro,Montenegro,Montenegro]"
MNG,"[Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia]"
MNP,"[Northern Mariana Islands,Northern Mariana Islands,N. Mariana Is.,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,Northern Mariana Islands]"
MOZ,"[Mozambique,Mozambique,Mozambique,Mozambique,Republic of Mozambique,Mozambique]"
MRT,"[Mauritania,Mauritania,Mauritania,Mauritania,Islamic Republic of Mauritania,Mauritania]"
MSR,"[Montserrat,Montserrat,Montserrat,Montserrat,,Montserrat]"
MUS,"[Mauritius,Mauritius,Mauritius,Mauritius,Republic of Mauritius,Mauritius]"
MWI,"[Malawi,Malawi,Malawi,Malawi,Republic of Malawi,Malawi]"
MYS,"[Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia]"
NAM,"[Namibia,Namibia,Namibia,Namibia,Republic of Namibia,Namibia]"
NCL,"[New Caledonia,New Caledonia,New Caledonia,New Caledonia,New Caledonia,New Caledonia]"
NER,"[Niger,Niger,Niger,Niger,Republic of Niger,Niger]"
NFK,"[Norfolk Island,Norfolk Island,Norfolk Island,Norfolk Island,Territory of Norfolk Island,Norfolk Island]"
NGA,"[Nigeria,Nigeria,Nigeria,Nigeria,Federal Republic of Nigeria,Nigeria]"
NIC,"[Nicaragua,Nicaragua,Nicaragua,Nicaragua,Republic of Nicaragua,Nicaragua]"
NIU,"[Niue,Niue,Niue,Niue,,Niue]"
NLD,"[Netherlands,Netherlands,Netherlands,Netherlands,Kingdom of the Netherlands,Netherlands]"
NOR,"[Norway,Norway,Norway,Norway,Kingdom of Norway,Norway]"
NPL,"[Nepal,Nepal,Nepal,Nepal,Nepal,Nepal]"
NRU,"[Nauru,Nauru,Nauru,Nauru,Republic of Nauru,Nauru]"
